#  english 75000
Differences between similar pairs of signatures
Sig 1                      Sig 2                      List 1                     List 2                     differences               
NULL-er                    NULL-r                     NULL-er                    NULL-r                     ['', 'e']                        
NULL-es                    NULL-s                     NULL-es                    NULL-s                     ['', 'e']                        
al-e                       NULL-al                    al-e                       al-NULL                    ['', 'e']                        
NULL-ers                   NULL-rs                    NULL-ers                   NULL-rs                    ['', 'e']                        
NULL-ed-s                  NULL-d-s                   NULL-ed-s                  NULL-d-s                   ['', 'e', '']                       
al-e-ity                   NULL-al-ity                al-e-ity                   al-NULL-ity                ['', 'e', '']                       
NULL-es-ic                 NULL-ic-s                  NULL-es-ic                 NULL-s-ic                  ['', 'e', '']                       
NULL-es-man                NULL-man-s                 NULL-es-man                NULL-s-man                 ['', 'e', '']                       
NULL-ed-ly                 NULL-d-ly                  NULL-ed-ly                 NULL-d-ly                  ['', 'e', '']                       
NULL-es-ing                NULL-ing-s                 NULL-es-ing                NULL-s-ing                 ['', 'e', '']                       
NULL-ed-ful-s              NULL-d-ful-s               NULL-ed-ful-s              NULL-d-ful-s               ['', 'e', '', '']                      
ed-es-ing-ion-ive          NULL-ed-ing-ion-s          ed-es-ing-ion-ive          ed-s-ing-ion-NULL          ['', 'e', '', '', 'ive']                     
NULL-ed-es                 NULL-d-s                   NULL-ed-es                 NULL-d-s                   ['', 'e', 'e']                       
NULL-ed-er                 NULL-d-r                   NULL-ed-er                 NULL-d-r                   ['', 'e', 'e']                       
NULL-er-ers-s              NULL-r-rs-s                NULL-er-ers-s              NULL-r-rs-s                ['', 'e', 'e', '']                      
NULL-ed-er-s               NULL-d-r-s                 NULL-ed-er-s               NULL-d-r-s                 ['', 'e', 'e', '']                      
NULL-ed-er-ers-s           NULL-d-r-rs-s              NULL-ed-er-ers-s           NULL-d-r-rs-s              ['', 'e', 'e', 'e', '']                     
NULL-ed-es-ion             NULL-d-n-s                 NULL-ed-es-ion             NULL-d-s-n                 ['', 'e', 'e', 'io']                      
NULL-ed-ies-y              NULL-d-s-y                 NULL-ed-ies-y              NULL-d-s-y                 ['', 'e', 'ie', '']                      
ed-es-ing-ion-ive          NULL-ed-ion-ive-s          ed-es-ing-ion-ive          ed-s-NULL-ion-ive          ['', 'e', 'ing', '', '']                     
NULL-ed-ion-s              NULL-d-n-s                 NULL-ed-ion-s              NULL-d-n-s                 ['', 'e', 'io', '']                      
NULL-es-man                NULL-n-s                   NULL-es-man                NULL-s-n                   ['', 'e', 'ma']                       
al-ed                      NULL-al                    al-ed                      al-NULL                    ['', 'ed']                        
NULL-ers                   NULL-s                     NULL-ers                   NULL-s                     ['', 'er']                        
ed-er-ing                  NULL-ed-ing                ed-er-ing                  ed-NULL-ing                ['', 'er', '']                       
ed-ers-ing                 ed-ing-s                   ed-ers-ing                 ed-s-ing                   ['', 'er', '']                       
ed-er-ers-ing              NULL-ed-ers-ing            ed-er-ers-ing              ed-NULL-ers-ing            ['', 'er', '', '']                      
ed-er-ers-ing              NULL-ed-ing-s              ed-er-ers-ing              ed-NULL-s-ing              ['', 'er', 'er', '']                      
ed-ers-ing                 NULL-ed-s                  ed-ers-ing                 ed-s-NULL                  ['', 'er', 'ing']                       
ed-ers-ing                 NULL-ed-ing                ed-ers-ing                 ed-NULL-ing                ['', 'ers', '']                       
ed-es-ing-ion-ive          NULL-ed-ing-ion-ive        ed-es-ing-ion-ive          ed-NULL-ing-ion-ive        ['', 'es', '', '', '']                     
ed-ies-y                   NULL-ed-es                 ed-ies-y                   ed-es-NULL                 ['', 'i', 'y']                       
NULL-ies-y                 NULL-s-y                   NULL-ies-y                 NULL-s-y                   ['', 'ie', '']                       
ed-ies-y                   NULL-ed-s                  ed-ies-y                   ed-s-NULL                  ['', 'ie', 'y']                       
ed-ies-y                   NULL-ed-y                  ed-ies-y                   ed-NULL-y                  ['', 'ies', '']                       
ed-ing                     NULL-ed                    ed-ing                     ed-NULL                    ['', 'ing']                        
ed-ing-ion                 NULL-ed-ion                ed-ing-ion                 ed-NULL-ion                ['', 'ing', '']                       
ed-ing-s                   NULL-ed-s                  ed-ing-s                   ed-NULL-s                  ['', 'ing', '']                       
ed-ing-ors                 NULL-ed-s                  ed-ing-ors                 ed-NULL-s                  ['', 'ing', 'or']                       
NULL-ion                   NULL-n                     NULL-ion                   NULL-n                     ['', 'io']                        
NULL-ion-s                 NULL-n-s                   NULL-ion-s                 NULL-n-s                   ['', 'io', '']                       
ed-ion                     NULL-ed                    ed-ion                     ed-NULL                    ['', 'ion']                        
ed-ion-ive                 NULL-ed-ive                ed-ion-ive                 ed-NULL-ive                ['', 'ion', '']                       
NULL-ity                   NULL-y                     NULL-ity                   NULL-y                     ['', 'it']                        
e-ity                      e-y                        e-ity                      e-y                        ['', 'it']                        
NULL-ity-ly                NULL-ly-y                  NULL-ity-ly                NULL-y-ly                  ['', 'it', '']                       
NULL-ity-s                 NULL-s-y                   NULL-ity-s                 NULL-y-s                   ['', 'it', '']                       
ed-ive                     NULL-ed                    ed-ive                     ed-NULL                    ['', 'ive']                        
NULL-ly                    NULL-y                     NULL-ly                    NULL-y                     ['', 'l']                        
NULL-ly-s                  NULL-s-y                   NULL-ly-s                  NULL-y-s                   ['', 'l', '']                       
NULL-man                   NULL-n                     NULL-man                   NULL-n                     ['', 'ma']                        
NULL-man-s                 NULL-n-s                   NULL-man-s                 NULL-n-s                   ['', 'ma', '']                       
ion-or                     NULL-ion                   ion-or                     ion-NULL                   ['', 'or']                        
ed-or                      NULL-ed                    ed-or                      ed-NULL                    ['', 'or']                        
ed-ors                     NULL-ed                    ed-ors                     ed-NULL                    ['', 'ors']                        
d-r                        NULL-d                     d-r                        d-NULL                     ['', 'r']                        
d-rs                       d-s                        d-rs                       d-s                        ['', 'r']                        
NULL-rs                    NULL-s                     NULL-rs                    NULL-s                     ['', 'r']                        
d-r-rs                     NULL-d-rs                  d-r-rs                     d-NULL-rs                  ['', 'r', '']                       
d-r-rs                     NULL-d-s                   d-r-rs                     d-NULL-s                   ['', 'r', 'r']                       
d-rs                       NULL-d                     d-rs                       d-NULL                     ['', 'rs']                        
d-s                        NULL-d                     d-s                        d-NULL                     ['', 's']                        
al-s                       NULL-al                    al-s                       al-NULL                    ['', 's']                        
r-s                        NULL-r                     r-s                        r-NULL                     ['', 's']                        
r-st                       NULL-r                     r-st                       r-NULL                     ['', 'st']                        
s-y                        NULL-s                     s-y                        s-NULL                     ['', 'y']                        
ed-y                       NULL-ed                    ed-y                       ed-NULL                    ['', 'y']                        
's-NULL                    NULL-s                     's-NULL                    s-NULL                     ["'", '']                        
's-NULL-n                  NULL-n-s                   's-NULL-n                  s-NULL-n                   ["'", '', '']                       
's-NULL-y                  NULL-s-y                   's-NULL-y                  s-NULL-y                   ["'", '', '']                       
's-NULL-ly                 NULL-ly-s                  's-NULL-ly                 s-NULL-ly                  ["'", '', '']                       
's-NULL-ly                 NULL-s-y                   's-NULL-ly                 s-NULL-y                   ["'", '', 'l']                       
al-s                       NULL-s                     al-s                       NULL-s                     ['al', '']                        
al-ed                      NULL-ed                    al-ed                      NULL-ed                    ['al', '']                        
al-ed                      NULL-d                     al-ed                      NULL-d                     ['al', 'e']                        
cy-t                       NULL-y                     cy-t                       y-NULL                     ['c', 't']                        
ce-tly                     e-y                        ce-tly                     e-y                        ['c', 'tl']                        
ce-t                       NULL-t                     ce-t                       NULL-t                     ['ce', '']                        
ce-tly                     NULL-ly                    ce-tly                     NULL-ly                    ['ce', 't']                        
ce-tly                     NULL-y                     ce-tly                     NULL-y                     ['ce', 'tl']                        
cy-t                       NULL-t                     cy-t                       NULL-t                     ['cy', '']                        
d-s                        NULL-s                     d-s                        NULL-s                     ['d', '']                        
d-r                        NULL-r                     d-r                        NULL-r                     ['d', '']                        
d-rs                       NULL-rs                    d-rs                       NULL-rs                    ['d', '']                        
d-r-rs-s                   NULL-r-rs-s                d-r-rs-s                   NULL-r-rs-s                ['d', '', '', '']                      
d-rs                       NULL-s                     d-rs                       NULL-s                     ['d', 'r']                        
e-y                        NULL-y                     e-y                        NULL-y                     ['e', '']                        
e-ity                      NULL-ity                   e-ity                      NULL-ity                   ['e', '']                        
e-ion                      NULL-ion                   e-ion                      NULL-ion                   ['e', '']                        
e-ing                      NULL-ing                   e-ing                      NULL-ing                   ['e', '']                        
e-ed-ing                   NULL-ed-ing                e-ed-ing                   NULL-ed-ing                ['e', '', '']                       
e-ed-ion                   NULL-ed-ion                e-ed-ion                   NULL-ed-ion                ['e', '', '']                       
e-es-ing                   NULL-es-ing                e-es-ing                   NULL-es-ing                ['e', '', '']                       
e-ies-y                    NULL-ies-y                 e-ies-y                    NULL-ies-y                 ['e', '', '']                       
e-ed-es-ing                NULL-ed-es-ing             e-ed-es-ing                NULL-ed-es-ing             ['e', '', '', '']                      
e-ed-ing-ion               NULL-ed-ing-ion            e-ed-ing-ion               NULL-ed-ing-ion            ['e', '', '', '']                      
e-ed-es-ion                NULL-ed-es-ion             e-ed-es-ion                NULL-ed-es-ion             ['e', '', '', '']                      
e-ed-ers-ing               NULL-ed-ers-ing            e-ed-ers-ing               NULL-ed-ers-ing            ['e', '', '', '']                      
e-ed-ies-y                 NULL-ed-ies-y              e-ed-ies-y                 NULL-ed-ies-y              ['e', '', '', '']                      
e-ed-er-ers-ing            NULL-ed-er-ers-ing         e-ed-er-ers-ing            NULL-ed-er-ers-ing         ['e', '', '', '', '']                     
e-ed-es-ing-ion            NULL-ed-es-ing-ion         e-ed-es-ing-ion            NULL-ed-es-ing-ion         ['e', '', '', '', '']                     
e-ed-er-ers-es-ing         NULL-ed-er-ers-ing-s       e-ed-er-ers-es-ing         NULL-ed-er-ers-s-ing       ['e', '', '', '', 'e', '']                    
e-ed-er-es-ing             NULL-ed-er-ing-s           e-ed-er-es-ing             NULL-ed-er-s-ing           ['e', '', '', 'e', '']                     
e-ed-er-ers-ing            NULL-ed-er-ing-s           e-ed-er-ers-ing            NULL-ed-er-s-ing           ['e', '', '', 'er', '']                     
e-ed-es-ing                NULL-ed-ing-s              e-ed-es-ing                NULL-ed-s-ing              ['e', '', 'e', '']                      
e-ed-es-ion                NULL-ed-ion-s              e-ed-es-ion                NULL-ed-s-ion              ['e', '', 'e', '']                      
e-ed-es-ing-ion            NULL-ed-ing-ion-s          e-ed-es-ing-ion            NULL-ed-s-ing-ion          ['e', '', 'e', '', '']                     
e-ed-es-ing-ity            NULL-ed-ing-s-y            e-ed-es-ing-ity            NULL-ed-s-ing-y            ['e', '', 'e', '', 'it']                     
e-ed-ers-ing               NULL-ed-ing-s              e-ed-ers-ing               NULL-ed-s-ing              ['e', '', 'er', '']                      
e-es-ing                   NULL-ing-s                 e-es-ing                   NULL-s-ing                 ['e', 'e', '']                       
e-es-ion                   NULL-ion-s                 e-es-ion                   NULL-s-ion                 ['e', 'e', '']                       
ed-er-ers-ing              NULL-d-r-rs                ed-er-ers-ing              d-r-rs-NULL                ['e', 'e', 'e', 'ing']                      
e-ed-es-ion                NULL-d-n-s                 e-ed-es-ion                NULL-d-s-n                 ['e', 'e', 'e', 'io']                      
ed-er-ers-ing              NULL-d-r-s                 ed-er-ers-ing              d-r-s-NULL                 ['e', 'e', 'er', 'ing']                      
e-ed-ies-y                 NULL-d-s-y                 e-ed-ies-y                 NULL-d-s-y                 ['e', 'e', 'ie', '']                      
ed-er-ing                  NULL-d-r                   ed-er-ing                  d-r-NULL                   ['e', 'e', 'ing']                       
ed-ers-ing                 NULL-d-rs                  ed-ers-ing                 d-rs-NULL                  ['e', 'e', 'ing']                       
e-es-ion                   NULL-n-s                   e-es-ion                   NULL-s-n                   ['e', 'e', 'io']                       
ed-ers-ing                 NULL-d-s                   ed-ers-ing                 d-s-NULL                   ['e', 'er', 'ing']                       
e-ies-y                    NULL-s-y                   e-ies-y                    NULL-s-y                   ['e', 'ie', '']                       
ed-ies-y                   NULL-d-s                   ed-ies-y                   d-s-NULL                   ['e', 'ie', 'y']                       
ed-ing                     NULL-d                     ed-ing                     d-NULL                     ['e', 'ing']                        
ed-ing-s                   NULL-d-s                   ed-ing-s                   d-NULL-s                   ['e', 'ing', '']                       
ed-ing-ors                 NULL-d-rs                  ed-ing-ors                 d-NULL-rs                  ['e', 'ing', 'o']                       
ed-ing-or-ors              NULL-d-r-rs                ed-ing-or-ors              d-NULL-r-rs                ['e', 'ing', 'o', 'o']                      
ed-ing-or-ors              NULL-d-r-s                 ed-ing-or-ors              d-NULL-r-s                 ['e', 'ing', 'o', 'or']                      
ed-ing-ors                 NULL-d-s                   ed-ing-ors                 d-NULL-s                   ['e', 'ing', 'or']                       
e-ion                      NULL-n                     e-ion                      NULL-n                     ['e', 'io']                        
ed-ion-or-ors              NULL-d-n-s                 ed-ion-or-ors              d-n-NULL-s                 ['e', 'io', 'or', 'or']                      
ed-ion                     NULL-d                     ed-ion                     d-NULL                     ['e', 'ion']                        
ed-ion-or                  NULL-d-r                   ed-ion-or                  d-NULL-r                   ['e', 'ion', 'o']                       
ed-ion-or-ors              NULL-d-r-rs                ed-ion-or-ors              d-NULL-r-rs                ['e', 'ion', 'o', 'o']                      
ed-ion-or-ors              NULL-d-r-s                 ed-ion-or-ors              d-NULL-r-s                 ['e', 'ion', 'o', 'or']                      
e-ity                      NULL-y                     e-ity                      NULL-y                     ['e', 'it']                        
ed-ive                     NULL-d                     ed-ive                     d-NULL                     ['e', 'ive']                        
ed-or                      d-r                        ed-or                      d-r                        ['e', 'o']                        
ed-ors                     d-rs                       ed-ors                     d-rs                       ['e', 'o']                        
ed-or                      NULL-d                     ed-or                      d-NULL                     ['e', 'or']                        
ed-ors                     d-s                        ed-ors                     d-s                        ['e', 'or']                        
ed-ors                     NULL-d                     ed-ors                     d-NULL                     ['e', 'ors']                        
ed-y                       NULL-d                     ed-y                       d-NULL                     ['e', 'y']                        
ed-ing                     NULL-ing                   ed-ing                     NULL-ing                   ['ed', '']                        
ed-ion                     NULL-ion                   ed-ion                     NULL-ion                   ['ed', '']                        
ed-y                       NULL-y                     ed-y                       NULL-y                     ['ed', '']                        
ed-ive                     NULL-ive                   ed-ive                     NULL-ive                   ['ed', '']                        
ed-er-ing                  NULL-er-ing                ed-er-ing                  NULL-er-ing                ['ed', '', '']                       
ed-ion-or                  NULL-ion-or                ed-ion-or                  NULL-ion-or                ['ed', '', '']                       
ed-ies-y                   NULL-ies-y                 ed-ies-y                   NULL-ies-y                 ['ed', '', '']                       
ed-ing-s                   NULL-ing-s                 ed-ing-s                   NULL-ing-s                 ['ed', '', '']                       
ed-er-ers-ing              NULL-er-ers-ing            ed-er-ers-ing              NULL-er-ers-ing            ['ed', '', '', '']                      
ed-ing-ion                 NULL-ing-n                 ed-ing-ion                 NULL-ing-n                 ['ed', '', 'io']                       
ed-ing-ors                 NULL-ing-s                 ed-ing-ors                 NULL-ing-s                 ['ed', '', 'or']                       
ed-ers-ing                 NULL-ing-s                 ed-ers-ing                 NULL-s-ing                 ['ed', 'er', '']                       
ed-ies-y                   NULL-s-y                   ed-ies-y                   NULL-s-y                   ['ed', 'ie', '']                       
ed-ion                     NULL-n                     ed-ion                     NULL-n                     ['ed', 'io']                        
ed-ion-or-ors              NULL-n-r-rs                ed-ion-or-ors              NULL-n-r-rs                ['ed', 'io', 'o', 'o']                      
ed-or                      NULL-r                     ed-or                      NULL-r                     ['ed', 'o']                        
ed-ors                     NULL-rs                    ed-ors                     NULL-rs                    ['ed', 'o']                        
ed-ors                     NULL-s                     ed-ors                     NULL-s                     ['ed', 'or']                        
ied-y                      ed-y                       ied-y                      ed-y                       ['i', '']                        
ied-ies-y                  ed-ies-y                   ied-ies-y                  ed-ies-y                   ['i', '', '']                       
ied-ies-y                  NULL-ed-es                 ied-ies-y                  ed-es-NULL                 ['i', 'i', 'y']                       
ied-ies-y                  NULL-ed-s                  ied-ies-y                  ed-s-NULL                  ['i', 'ie', 'y']                       
ied-ies-y                  NULL-ed-y                  ied-ies-y                  ed-NULL-y                  ['i', 'ies', '']                       
ies-y                      NULL-es                    ies-y                      es-NULL                    ['i', 'y']                        
ied-y                      NULL-ed                    ied-y                      ed-NULL                    ['i', 'y']                        
ies-y                      s-y                        ies-y                      s-y                        ['ie', '']                        
ied-ies-y                  NULL-d-s                   ied-ies-y                  d-s-NULL                   ['ie', 'ie', 'y']                       
ies-y                      NULL-s                     ies-y                      s-NULL                     ['ie', 'y']                        
ied-y                      NULL-d                     ied-y                      d-NULL                     ['ie', 'y']                        
ied-y                      NULL-y                     ied-y                      NULL-y                     ['ied', '']                        
ied-ies-y                  NULL-ies-y                 ied-ies-y                  NULL-ies-y                 ['ied', '', '']                       
ied-ies-y                  NULL-s-y                   ied-ies-y                  NULL-s-y                   ['ied', 'ie', '']                       
ies-y                      NULL-y                     ies-y                      NULL-y                     ['ies', '']                        
ion-or                     NULL-n                     ion-or                     n-NULL                     ['io', 'or']                        
ion-or                     NULL-r                     ion-or                     NULL-r                     ['ion', 'o']                        
ng-on                      NULL-n                     ng-on                      NULL-n                     ['ng', 'o']                        
ng-on-ons                  NULL-n-s                   ng-on-ons                  NULL-n-s                   ['ng', 'o', 'on']                       
ng-ons                     NULL-s                     ng-ons                     NULL-s                     ['ng', 'on']                        
on-ons-ve                  NULL-n-s                   on-ons-ve                  n-s-NULL                   ['o', 'on', 've']                       
on-ve                      NULL-n                     on-ve                      n-NULL                     ['o', 've']                        
r-s                        NULL-s                     r-s                        NULL-s                     ['r', '']                        
r-st                       NULL-t                     r-st                       NULL-t                     ['r', 's']                        
s-y                        NULL-y                     s-y                        NULL-y                     ['s', '']                        
_________________ 
 End of Make Signatures.

--------------------------------------------------------------
Signature                          Stem count   Robustness  
--------------------------------------------------------------
NULL-s                                592  25626
NULL-ly                               158   8395
NULL-d                                117   4921
NULL-d-s                               78   4284
NULL-ed                                61   2682
ies-y                                  49   1604
NULL-ed-ing-s                          49   4164
's-NULL                                45   2102
NULL-ed-ing                            39   2818
NULL-ing                               33   1698
e-ed-ing                               33   1614
NULL-ed-s                              31   1758
ed-ing                                 28   1017
d-s                                    27    436
d-r                                    26    401
ed-ion                                 25   1114
ce-t                                   23    631
NULL-al-s                              23   1830
e-ed-es-ing                            23   1632
NULL-ly-s                              19   1130
on-ve                                  18    709
NULL-ing-s                             17   1096
NULL-al                                17    946
d-r-rs                                 16    590
e-y                                    15    272
's-NULL-s                              15    950
NULL-n                                 14    498
NULL-ity                               14    748
e-ed-ion                               13    845
NULL-man                               11    542
NULL-y                                 11    350
NULL-ed-es-ing                         10    893
ng-on-ons                              10    665
ied-y                                  10    297
cy-t                                   10    231
on-ons-ve                              10    713
e-ity                                  10    305
r-st                                   10    204
ce-t-tly                               10    583
ng-on                                  10    361
NULL-ion                                9    470
NULL-er                                 9    332
NULL-es                                 9    350
e-ion                                   9    308
NULL-ic-s                               9    584
al-s                                    8    211
NULL-t                                  6    185
NULL-ary-s                              6    437
al-e                                    6    146
NULL-ed-ion-s                           6    557
e-ed-ing-ion                            6    511
ng-on-ons-ve                            5    422
NULL-ity-ly                             5    364
NULL-ful                                5    207
NULL-ed-ion                             4    283
ion-or                                  4    198
NULL-ed-es                              4    246
al-ed                                   4    107
NULL-ed-ion-ive                         4    451
e-es-ing                                4    164
NULL-ity-s                              4    273
NULL-ful-s                              4    246
NULL-d-r-rs-s                           4    327
NULL-ed-er-ers-ing                      4    428
NULL-ed-er-ers-ing-s                    3    363
NULL-r                                  3     97
s-y                                     3     40
al-e-ed-ing                             3    172
d-rs                                    3     71
NULL-ism-s                              3    245
NULL-ed-ful-s                           3    206
NULL-ed-ive-s                           3    266
al-e-ed                                 3    134
e-ed-es-ion                             3    262
e-ing                                   3     90
NULL-ic                                 3    122
NULL-ed-er-ing-s                        3    377
NULL-ism-ly                             2    151
NULL-er-ers-s                           2    205
NULL-r-rs-s                             2    121
NULL-s-t                                2     85
NULL-s-y                                2     92
NULL-n-s                                2     92
ed-ion-ive                              2    127
NULL-er-ly                              2    109
NULL-ed-er-s                            2    144
ed-er-ing                               2    121
's-NULL-al-s                            2    188
NULL-ers                                2     99
NULL-er-s                               2    113
NULL-er-ers-ing                         2    155
ed-ion-or                               2    121
d-r-rs-s                                2     99
NULL-ary-ed-s                           2    157
NULL-ed-ing-ion                         2    183
NULL-er-ers                             2    151
ed-or                                   2     49
NULL-ed-er-ing                          2    157
ng-on-ve                                2    106
's-NULL-n                               2    113
e-ed-es-ing-ion-or-ors                  2    295
ed-y                                    2     40
NULL-ed-ers-ing-s                       2    225
NULL-ary                                2    148
NULL-d-rs                               2    105
NULL-ed-ing-ly-s                        2    196
NULL-ed-t                               2    137
NULL-d-r-rs                             2    181
e-ed-er-ers-es-ing                      2    222
e-ed-er-ers-ing                         2    225
NULL-d-ly                               2    137
NULL-ed-ing-ion-ive-s                   2    301
ed-ies-y                                2     85
NULL-ism                                2    106
PROBLEM!!
                                        1     -6
NULL-n-r-rs                             1     50
NULL-ed-ion-ly-or-ors                   1    120
NULL-ed-ful                             1     70
NULL-ing-s-y                            1     55
NULL-ion-ly                             1     70
NULL-ed-ing-or-ors-s                    1     95
NULL-es-ful-ion-ive-or                  1    147
NULL-al-ity                             1     80
's-NULL-es                              1     54
ied-ies-y                               1     40
ed-ion-or-ors                           1     84
NULL-ly-y                               1     48
NULL-ed-es-ion                          1     91
NULL-al-ing-s                           1     96
NULL-ed-er-ing-ly                       1     80
NULL-ies-s-y                            1     66
NULL-ed-es-ing-ion                      1    119
NULL-ed-ing-ion-ive                     1    108
ed-es-ing-ion-ive                       1     80
ed-ing-ors                              1     54
NULL-ed-er-ers-s                        1     75
al-e-ity                                1     49
NULL-ive                                1     42
NULL-ly-r-st                            1     55
's-NULL-ism-ly-s                        1    150
r-s                                     1     12
NULL-ive-s                              1     72
NULL-ic-s-y                             1     60
NULL-er-ers-es-ing                      1     85
NULL-d-r-s                              1     63
NULL-ed-ers-ing                         1     98
NULL-al-ism-s                           1     72
NULL-ary-er-ers-s                       1     96
NULL-r-st                               1     48
's-NULL-ly-s                            1     77
NULL-ed-er-ers-es-ing-s                 1    132
NULL-ic-ism-s                           1     72
NULL-er-ers-ing-s                       1     80
's-NULL-d-s                             1     50
NULL-ed-ing-s-y                         1     70
's-NULL-y                               1     40
e-ed-es-ing-ion-ive-or                  1    105
NULL-al-ary-s                           1     84
e-ed-ers-ing                            1     55
ed-ers-ing                              1     45
NULL-man-s                              1     45
al-e-ed-es-ing                          1     91
e-ed-es-ing-ion                         1    126
's-NULL-ly                              1     45
NULL-ed-ive                             1     80
NULL-ion-ive-ly                         1    112
NULL-ed-ies-y                           1     96
NULL-ion-or                             1     70
NULL-ed-ing-y                           1     84
e-ed-es-ing-ity                         1     98
al-e-ed-ing-ors                         1     84
NULL-ing-n                              1     45
NULL-ed-er                              1     81
e-ed-er-es-ing                          1     78
NULL-d-ful-s                            1     55
NULL-ies-y                              1     81
NULL-ed-er-ers-ies-ing-s-y              1    125
NULL-es-ic                              1     45
NULL-es-man                             1     80
NULL-ion-s                              1     63
NULL-ed-ly                              1     63
ed-ive                                  1     35
NULL-ed-ing-ion-s                       1    112
NULL-ly-r-rs                            1     77
ed-ing-ion                              1     72
NULL-es-s                               1     40
ed-ors                                  1     30
NULL-er-ing                             1     50
NULL-e-ity-ly                           1     60
NULL-d-s-y                              1     54
NULL-ed-ion-ive-s                       1     96
NULL-ed-ful-ing-s                       1     96
e-ies-y                                 1     30
NULL-ion-ive-s                          1     91
ng-ons                                  1     45
NULL-ed-y                               1     56
e-es-ion                                1     49
NULL-ed-ing-ion-ive-or                  1    147
e-ed-ies-y                              1     63
NULL-d-n-s                              1     45
NULL-es-ing                             1     50
ed-ing-or-ors                           1     72
NULL-ed-ing-or                          1     91
