#  english 100000
Total number of letters in stems:  87109
Total number of letters in signatures:  45696
Total:  132805

------------------------------------------------------------------------------------------------------------------------------------------------------
Signature                                                   Stem count Robustness  Proportion of robustness          Running sum 
------------------------------------------------------------------------------------------------------------------------------------------------------
('NULL', 's')                                           1996           27020                   12.912%              12.912%
('NULL', 'ity', 'ly', 's')                                 4             120                    0.057%              54.163%
('NULL', 'ous', 's')                                       4              76                    0.036%              54.199%
('NULL', 'ship')                                           4              54                    0.026%              54.225%
("'s", 'NULL', 'al', 'ally', 's')                          4             207                    0.099%              54.324%
('on', 've', 'ves')                                        4              85                    0.041%              54.365%
('ed', 'ing', 'ion', 'ions')                               4             123                    0.059%              54.423%
('sm', 'ty')                                               4              52                    0.025%              54.448%
('NULL', 'ville')                                          4              55                    0.026%              54.474%
('ng', 'ons')                                              4              51                    0.024%              54.499%
('e', 'es', 'y')                                           4              68                    0.032%              54.531%
('e', 'ed', 'ers', 'ing')                                  4             111                    0.053%              54.584%
('d', 'rs', 's')                                           4              66                    0.032%              54.616%
("'s", 'NULL', 'ville')                                    4              93                    0.044%              54.660%
('NULL', 'es', 's')                                        4              89                    0.043%              54.703%
('NULL', 'n', 's')                                         4              74                    0.035%              54.738%
('NULL', 'e', 'es')                                        4              79                    0.038%              54.776%
('ist', 'y')                                               4              41                    0.020%              54.796%
('ous', 'y')                                               4              39                    0.019%              54.814%
('ed', 'es', 'ion')                                        4              93                    0.044%              54.859%
('ity', 'ous', 'ously')                                    4              93                    0.044%              54.903%
('NULL', 'ia')                                             4              44                    0.021%              54.924%
('e', 'ely', 'ion')                                        4              73                    0.035%              54.959%
('s', 'th')                                                4              36                    0.017%              54.976%
('ical', 'ist', 'ists', 'y')                               4             138                    0.066%              55.042%
('NULL', 'ed', 'ing', 'ment')                              4             129                    0.062%              55.104%
('ng', 'on', 'onal', 'ons')                                4             123                    0.059%              55.163%
('NULL', 'ton')                                            4              49                    0.023%              55.186%
('g', 's')                                                 4              30                    0.014%              55.200%
('d', 'r', "r's")                                          4              69                    0.033%              55.233%
('e', 'es', 'ion')                                         4              94                    0.045%              55.278%
('NULL', 'er', 'ers')                                      4              85                    0.041%              55.319%
("'", 'NULL', 'hip')                                       4              82                    0.039%              55.358%
('NULL', 'ist', 'ists', 's')                               4             129                    0.062%              55.420%
('al', 'um')                                               4              41                    0.020%              55.439%
('NULL', 'al', 'ality', 'ally', 's')                       4             180                    0.086%              55.525%
("'s", 'NULL', 'al', 's')                                  4             144                    0.069%              55.594%
('NULL', 'rs')                                             4              49                    0.023%              55.618%
('e', 'ed', 'ion', 'ions')                                 4             120                    0.057%              55.675%
('NULL', 'd', 'rs', 's')                                   4             117                    0.056%              55.731%
('NULL', 'ity', 's')                                       4              82                    0.039%              55.770%
('cal', 'sts')                                             4              53                    0.025%              55.795%
('n', 'us')                                                4              40                    0.019%              55.814%
('NULL', 'd', 'ment', 'ments')                             4             126                    0.060%              55.875%
('NULL', 'o')                                              4              44                    0.021%              55.896%
('NULL', 'ies', 's', 'y')                                  4             105                    0.050%              55.946%
('NULL', 'ed', 'y')                                        4              73                    0.035%              55.981%
('d', 'ment')                                              4              52                    0.025%              56.006%
('NULL', 'ide')                                            3              34                    0.016%              56.022%
('ble', 'l')                                               3              30                    0.014%              56.036%
('NULL', 'able', 'ed', 'es', 'ing')                        3             130                    0.062%              56.098%
('NULL', 'ation', 'ed')                                    3              68                    0.032%              56.131%
('e', 'ed', 'es', 'ing', 'ion', 'ions', 'ive', 'or', 'ors')         3             254                    0.121%              56.252%
('ic', 'ical', 'ist', 'y')                                 3              89                    0.043%              56.295%
('ous', 'ty')                                              3              29                    0.014%              56.309%
('NULL', 'able', 'ed', 'ing', 's')                         3             104                    0.050%              56.358%
('s', 'ty')                                                3              26                    0.012%              56.371%
('ce', 'cy', 't', 'tly')                                   3              88                    0.042%              56.413%
('NULL', 'd', 'ment', 's')                                 3             104                    0.050%              56.462%
('e', 'ed', 'es', 'ing', 'ion', 'or')                      3             146                    0.070%              56.532%
('es', 'is')                                               3              30                    0.014%              56.546%
("'s", 'NULL', 'ed', 'ing', 's')                           3             100                    0.048%              56.594%
("'s", 'NULL', "s'")                                       3              62                    0.030%              56.624%
('NULL', 'ish', 's')                                       3              62                    0.030%              56.654%
('NULL', 's', 'town')                                      3              58                    0.028%              56.681%
('a', 'e')                                                 3              22                    0.011%              56.692%
('NULL', 'ed', 'ing', 'ingly')                             3             100                    0.048%              56.740%
('NULL', 'ty')                                             3              36                    0.017%              56.757%
('d', 'es')                                                3              27                    0.013%              56.770%
('NULL', 'man')                                            3              37                    0.018%              56.787%
("'s", 'NULL', 'n', 'ns')                                  3              87                    0.042%              56.829%
('ng', 'ty')                                               3              30                    0.014%              56.843%
('NULL', 'ic', 'ics', 's')                                 3              89                    0.043%              56.886%
('NULL', 'ant', 'ants', 'ed', 'ing', 's')                  3             129                    0.062%              56.947%
('iness', 'y')                                             3              31                    0.015%              56.962%
('NULL', 'ed', 'ing', 'ingly', 's')                        3             118                    0.056%              57.019%
('ng', 've')                                               3              29                    0.014%              57.032%
('NULL', 'ine')                                            3              33                    0.016%              57.048%
('NULL', 'tic')                                            3              35                    0.017%              57.065%
('NULL', 'ed', 'er', 'ers', 'ing', 's')                    3             125                    0.060%              57.125%
('NULL', 'ist', 's')                                       3              62                    0.030%              57.154%
('ious', 'y')                                              3              31                    0.015%              57.169%
('d', 'r', 'st')                                           3              46                    0.022%              57.191%
('n', 'ns', 'us')                                          3              66                    0.032%              57.223%
('s', 'y')                                                 3              26                    0.012%              57.235%
('NULL', 'is')                                             3              33                    0.016%              57.251%
('ical', 'ists', 'y')                                      3              70                    0.033%              57.284%
('er', 'ric')                                              3              44                    0.021%              57.305%
('cies', 'cy', 't', 'ts')                                  3              96                    0.046%              57.351%
('d', 'nce', 'nt', 'ntly')                                 3              89                    0.043%              57.394%
('ng', 'on', 'ons', 've', 'vely')                          3             134                    0.064%              57.458%
('e', 'ely', 'ion', 'ions')                                3             100                    0.048%              57.506%
('ll', 's')                                                3              29                    0.014%              57.519%
('e', 'ed', 'es', 'ing', 'ion', 'ions', 'ory')             3             192                    0.092%              57.611%
('NULL', 'an')                                             3              32                    0.015%              57.626%
('r', 's')                                                 3              23                    0.011%              57.637%
('ble', 'on')                                              3              42                    0.020%              57.658%
('NULL', 'ism', 'ly', 's')                                 3             107                    0.051%              57.709%
('cy', 'te', 'tely')                                       3              56                    0.027%              57.735%
('NULL', 'ized', 's')                                      3              60                    0.029%              57.764%
('NULL', 'e', 's')                                         3              52                    0.025%              57.789%
('NULL', 'ian')                                            3              33                    0.016%              57.805%
('e', 'ities', 'ity')                                      3              56                    0.027%              57.831%
('NULL', 'ized', 'izing', 's')                             3              91                    0.043%              57.875%
('NULL', 'able', 'ably', 'ed', 'ing', 's')                 3             131                    0.063%              57.938%
('ility', 'le', 'les')                                     3              68                    0.032%              57.970%
('NULL', 'ed', 'ion', 's')                                 3              89                    0.043%              58.013%
('NULL', 'd', 'r', 'rs')                                   3              76                    0.036%              58.049%
('NULL', 'age', 's')                                       3              52                    0.025%              58.074%
('NULL', 'son')                                            3              32                    0.015%              58.089%
('ar', 'es')                                               3              34                    0.016%              58.105%
('NULL', 's', 'ship', 'ships')                             3             109                    0.052%              58.157%
("'s", 'NULL', 'ial', 's')                                 3              89                    0.043%              58.200%
('ble', 'tion', 'tions')                                   3              66                    0.032%              58.231%
('ng', 'on', 'onal')                                       3              62                    0.030%              58.261%
('NULL', 'ial', 's')                                       3              56                    0.027%              58.288%
('NULL', 'ism', 'ly')                                      3              78                    0.037%              58.325%
('NULL', 'ion', 'ly')                                      3              68                    0.032%              58.358%
('ation', 'e', 'ed', 'ers', 'es', 'ing')                   3             142                    0.068%              58.425%
('ed', 'ions')                                             3              35                    0.017%              58.442%
('NULL', 'man', 'men')                                     3              60                    0.029%              58.471%
('ce', 'ces', 't', 'tly')                                  3              81                    0.039%              58.510%
('NULL', 's', 'ship')                                      3              66                    0.032%              58.541%
('cal', 'st', 'sts')                                       3              74                    0.035%              58.576%
('al', 'es')                                               3              34                    0.016%              58.593%
('cal', 'es')                                              3              41                    0.020%              58.612%
('NULL', 'ation')                                          3              41                    0.020%              58.632%
('al', 'ed')                                               3              28                    0.013%              58.645%
('ng', 'tion')                                             3              36                    0.017%              58.662%
('st', 'sts', 'ty')                                        3              62                    0.030%              58.692%
('NULL', 'd', 'ly', 'ness', 's')                           3             132                    0.063%              58.755%
('ce', 't', 'tly', 'ts')                                   3              97                    0.046%              58.802%
('NULL', 'ly', 'ty')                                       3              56                    0.027%              58.828%
('ity', 'ous')                                             3              30                    0.014%              58.843%
('NULL', 'ed', 'ion')                                      3              64                    0.031%              58.873%
('cies', 'cy', 'te', 'tely')                               3              87                    0.042%              58.915%
('NULL', 'ing', 'ingly')                                   3              72                    0.034%              58.949%
('e', 'ed', 'es', 'ing', 'ingly')                          3             110                    0.053%              59.002%
('NULL', 'ed', 'ing', 'ment', 's')                         3             108                    0.052%              59.053%
('ical', 'ies', 'y')                                       3              72                    0.034%              59.088%
('ed', 'er', 'ers', 'ing')                                 3              80                    0.038%              59.126%
('al', 's')                                                3              32                    0.015%              59.141%
('ied', 'ies', 'y', 'ying')                                3              76                    0.036%              59.178%
('NULL', 'atic', 's')                                      3              62                    0.030%              59.207%
('ly', 'ness')                                             3              31                    0.015%              59.222%
("'", 'g', 'gly')                                          3              48                    0.023%              59.245%
('n', 'ned', 'ning', 'r', 'st')                            3              94                    0.045%              59.290%
('e', 'o')                                                 3              24                    0.011%              59.301%
("'", 'NULL', 'ville')                                     3              60                    0.029%              59.330%
('NULL', 'ed', 's', 'y')                                   3              82                    0.039%              59.369%
('NULL', 'ter')                                            3              34                    0.016%              59.385%
('NULL', 'on')                                             3              33                    0.016%              59.401%
('NULL', 'te', 'tes')                                      3              58                    0.028%              59.429%
("'s", 'NULL', 'ship')                                     3              70                    0.033%              59.462%
('NULL', 'est')                                            3              34                    0.016%              59.479%
('ed', 'er', 'ing')                                        3              52                    0.025%              59.504%
('ess', 'y')                                               3              28                    0.013%              59.517%
('e', 'ed', 'er', 'es', 'ing')                             3             100                    0.048%              59.565%
("'", 'NULL', 'hip', 'hips')                               3              84                    0.040%              59.605%
("'s", 'NULL', 'ian', 'ians')                              3              95                    0.045%              59.650%
('NULL', 'man', "man's", 'men')                            3              84                    0.040%              59.690%
('a', 'um')                                                3              29                    0.014%              59.704%
('ies', 'ous', 'y')                                        3              54                    0.026%              59.730%
('ed', 'ers', 'ing')                                       3              58                    0.028%              59.758%
('NULL', 'shire')                                          3              42                    0.020%              59.778%
('NULL', 'ed', 'ers', 'ing')                               3              93                    0.044%              59.822%
('er', 'ers', 'ing')                                       3              68                    0.032%              59.855%
("'s", 'NULL', 'ers')                                      3              60                    0.029%              59.883%
('c',)                                                     3               2                    0.001%              59.884%
('cy', 't', 'ts')                                          3              56                    0.027%              59.911%
('NULL', 'ed', 'es', 'ing', 'ment', 'ments')               3             165                    0.079%              59.990%
('NULL', 'al', 'ally', 'ed', 's')                          2              81                    0.039%              60.029%
('able', 'd')                                              2              19                    0.009%              60.038%
("'", 'NULL', 'on')                                        2              35                    0.017%              60.054%
